rubro,linea,nombre_base,nombre_ejemplo
Baldosa Encastrable Deck WPC,Baldosa Encastrable Deck WPC,Baldosa Encastrable Wpc Baldosa Encastrable Negro,Baldosa Encastrable WPC Baldosa Encastrable Negro - -
Baldosa Encastrable Deck WPC,Baldosa Encastrable Deck WPC,Baldosa Encastrable Wpc Baldosa Encastrable T 1,Baldosa Encastrable WPC Baldosa Encastrable T-1 - -
Baldosa Encastrable Deck WPC,Baldosa Encastrable Deck WPC,Baldosa Encastrable Wpc Baldosa Encastrable T 602,Baldosa Encastrable WPC Baldosa Encastrable T-602 - -
Baldosa Encastrable Deck WPC,Baldosa Encastrable Deck WPC,Baldosa Encastrable Wpc Baldosa Encastrable T4,Baldosa Encastrable WPC Baldosa Encastrable T4 - -
Ceramico,ANGELGRES,Ceramico Forest Amber,Ceramico Forest Amber (15x60) - -
Ceramico,ANGELGRES,Ceramico Forest Ice,Ceramico Forest Ice (15x60) - -
Ceramico,ANGELGRES,Ceramico Goethe Rectificado,Ceramico Goethe (15x90) Rectificado -
Ceramico,ANGELGRES,Ceramico Legnoso Gold Rectificado,Ceramico Legnoso Gold (15x90) Rectificado -
Ceramico,ANGELGRES,Ceramico Malbec Rectificado,Ceramico Malbec (15x90) Rectificado -
Ceramico,ANGELGRES,Ceramico Merlot Rectificado,Ceramico Merlot (15x90) Rectificado -
Ceramico,ANGELGRES,Ceramico New Tavola Beige Plus Rectificado,Ceramico New Tavola Beige Plus (15x90) Rectificado -
Ceramico,ANGELGRES,Ceramico Pavia Marrone Rectificado,Ceramico Pavia Marrone (15x90) Rectificado -
Ceramico,ANGELGRES,Ceramico Revestimiento De Pared Gucci,Ceramico Revestimiento de Pared Gucci (30x59) - -
Ceramico,ANGELGRES,Ceramico Revestimiento De Pared Paris White,Ceramico Revestimiento de Pared Paris White (30x59) - -
Ceramico,ANGELGRES,Ceramico Tennessee Amber,Ceramico Tennessee Amber (15x60) - -
Ceramico,ANGELGRES,Ceramico Tennessee Moon,Ceramico Tennessee Moon (15x60) - -
Ceramico,ANGELGRES,Ceramico Toscana Grey,Ceramico Toscana Grey (15x60) - -
Ceramico,ANGELGRES,Ceramico Whiskey Lot 1,Ceramico Whiskey Lot 1 (15x60) - -
Ceramico,Cejatel,Ceramico Ripado Black Revestimiento De Pared Cejatel,Ceramico Ripado Black Revestimiento de Pared Cejatel - -
Ceramico,Cejatel,Ceramico Ripado White Revestimiento De Pared Cejatel,Ceramico Ripado White Revestimiento de Pared Cejatel - -
Ceramico,REALCE MADERADO,Ceramico 25000 Castellon Rectificado Realce,Ceramico 25000 CASTELLON Rectificado Realce
Ceramico,REALCE MADERADO,Ceramico 25004 Huesca Rectificado Realce,Ceramico 25004 HUESCA Rectificado Realce
Ceramico,REALCE MADERADO,Ceramico 25013 Toledo Rectificado Realce,Ceramico 25013 TOLEDO Rectificado Realce
Ceramico,REALCE PIEDRA,Ceramico 51006 Pontevedra Gris Rectificado Realce,Ceramico 51006 PONTEVEDRA GRIS Rectificado Realce
Ceramico,REALCE PIEDRA,Ceramico 51007 Arena Alicante Rectificado Realce,Ceramico 51007 ARENA ALICANTE Rectificado Realce
Ceramico,REALCE PIEDRA,Ceramico 51030 Girona Blanco Rectificado Realce,Ceramico 51030 GIRONA BLANCO Rectificado Realce
DECO,DECO,Bandeja Sundara,Bandeja Sundara 45x24cm
DECO,DECO,Botella Wella,Botella Wella 750ml
DECO,DECO,Camino Umira Beige,Camino Umira Beige
DECO,DECO,Camino Umira Beige Combinado,Camino Umira Beige Combinado
DECO,DECO,Camino Umira Natural,Camino Umira Natural
DECO,DECO,Canasto Elephant,Canasto Elephant
DECO,DECO,Canasto Shark,Canasto Shark
DECO,DECO,Canasto Shark Grande,Canasto Shark grande
DECO,DECO,Contenedor Adrella,Contenedor Adrella
DECO,DECO,Dispenser Calliope,Dispenser Calliope
DECO,DECO,Dispenser Cristy,Dispenser Cristy
DECO,DECO,Dispenser Gary,Dispenser Gary 
DECO,DECO,Dispenser Petit Transparente,Dispenser Petit Transparente
DECO,DECO,Dispenser Smoke,Dispenser Smoke
DECO,DECO,Dispenser Wico Tornasolado,Dispenser Wico Tornasolado
DECO,DECO,Florero Pedra Dorado,Florero Pedra Dorado
DECO,DECO,Florero Tabhita,Florero Tabhita
DECO,DECO,Frascos Holz,Frascos Holz 1800ml
DECO,DECO,Jabonera Cristy,Jabonera Cristy
DECO,DECO,Maceta Gato Chico,Maceta Gato Chico
DECO,DECO,Maceta Gato Grande,Maceta Gato Grande
DECO,DECO,Maceta Gato Mediano,Maceta Gato Mediano
DECO,DECO,Manta Jacobs Celeste,Manta Jacobs Celeste 125 x 150cm
DECO,DECO,Mortero Souza Blanco,Mortero Souza Blanco
DECO,DECO,Porta Pinches Luscyous Oso Tornasolado,Porta Pinches LUSCYOUS  - OSO TORNASOLADO
DECO,DECO,Set Baño Stirling,Set Baño x 3 Stirling (4569/4570/4571)
DECO,DECO,Set Canasto Viena,Set Canasto Viena
DECO,DECO,Set Canastos Orohena,Set x 3 canastos Orohena
DECO,DECO,Set Copa Deliglass Rayada Dorada,Set x 6 copa deliglass rayada dorada
DECO,DECO,Set De Baño Ness,Set de Baño Ness
DECO,DECO,Set De Baño Penelope,Set de Baño Penelope
DECO,DECO,Tabla Absorvente Perna,Tabla Absorvente Perna
DECO,DECO,Taza Moka X Unidad,Taza Moka 250ml x unidad
DECO,DECO,Tetera Bolonia,Tetera Bolonia 550ml
DECO,DECO,Tetera Efemina,Tetera Efemina 750ml
DECO,DECO,Tetera Momy,Tetera Momy 350ml
DECO,DECO,Vaso Calliope,Vaso Calliope
DECO,DECO,Vaso Cristy,Vaso Cristy
DECO,DECO,Vasos Constanza Ambar Set,Vasos Constanza Ambar set x6
DECO,DECO,Vasos Zenda Tornasolados Set,Vasos Zenda Tornasolados 420 ml Set x 6
DECO,DECO,Vasos Zenda Transparente Set,Vasos Zenda Transparente 270ml Set x 6
Deck WPC,Deck WPC,"Deck Wpc Ambar T406 Colección Bulk 2,20 Metros","Deck WPC Ambar T406 Colección Bulk 2,20 metros"
Deck WPC,Deck WPC,"Deck Wpc Ambar T406 Colección Bulk 2,90 Metros","Deck WPC Ambar T406 Colección Bulk 2,90 metros"
Deck WPC,Deck WPC,Deck Wpc Ambar T406 Colección Bulk 3 Metros,Deck WPC Ambar T406 Colección Bulk 3 metros
Deck WPC,Deck WPC,Deck Wpc Blanco Puro/Roble Marron Colección Camaleón (Reversible),Deck WPC Blanco Puro/Roble Marron Colección Camaleón (Reversible) -
Deck WPC,Deck WPC,"Deck Wpc Chocolate T106 Colección Bulk 2,90 Metros","Deck WPC Chocolate T106 Colección Bulk 2,90 metros"
Deck WPC,Deck WPC,Deck Wpc Chocolate T106 Colección Bulk 3 Metros,Deck WPC Chocolate T106 Colección Bulk 3 metros
Deck WPC,Deck WPC,Deck Wpc Classic Dark Coffee Coleccion Europe,Deck WPC Classic Dark Coffee Coleccion Europe -
Deck WPC,Deck WPC,Deck Wpc Classic Gray Coleccion Europe,Deck WPC Classic Gray Coleccion Europe -
Deck WPC,Deck WPC,Deck Wpc Classic Light Coffee Coleccion Europe,Deck WPC Classic Light Coffee Coleccion Europe -
Deck WPC,Deck WPC,Deck Wpc Classic Teak Coleccion Europe,Deck WPC Classic Teak Coleccion Europe -
Deck WPC,Deck WPC,"Deck Wpc Coffee Coleccion Long 3,66 Metros","Deck WPC Coffee Coleccion Long 3,66 metros"
Deck WPC,Deck WPC,"Deck Wpc Cream Mixed 2,9M","Deck WPC Cream Mixed - 2,9m"
Deck WPC,Deck WPC,"Deck Wpc Fresno Nordico T 6 Colección Noble (Sin Pigmento Negro) 2,20 Metros","Deck WPC Fresno Nordico T-6 Colección Noble (Sin Pigmento Negro) 2,20 metros"
Deck WPC,Deck WPC,"Deck Wpc Fresno Nordico T 6 Colección Noble (Sin Pigmento Negro) 2,90 Metros","Deck WPC Fresno Nordico T-6 Colección Noble (Sin Pigmento Negro) 2,90 metros"
Deck WPC,Deck WPC,Deck Wpc Fresno Nordico T 6 Colección Noble (Sin Pigmento Negro) 3 Metros,Deck WPC Fresno Nordico T-6 Colección Noble (Sin Pigmento Negro) 3 metros
Deck WPC,Deck WPC,Deck Wpc Fresno Nordico T 6 Colección Noble 3 Metros,Deck WPC Fresno Nordico T-6 Colección Noble 3 metros
Deck WPC,Deck WPC,"Deck Wpc Grey Coleccion Long 3,66 Metros","Deck WPC Grey Coleccion Long 3,66 metros"
Deck WPC,Deck WPC,Deck Wpc Gris Ceniza/Gris Plata Colección Camaleón (Reversible),Deck WPC Gris Ceniza/Gris Plata Colección Camaleón (Reversible) -
Deck WPC,Deck WPC,Deck Wpc Gris Grafito/Fresno Nordico Colección Camaleón (Reversible),Deck WPC Gris Grafito/Fresno Nordico Colección Camaleón (Reversible) -
Deck WPC,Deck WPC,Deck Wpc Ipe Oscuro Colección Prestigio,Deck WPC IPE Oscuro (2da Generacion) Colección Prestigio -
Deck WPC,Deck WPC,Deck Wpc Maple + Cream Mixed Colección Camaleón (Reversible) 4M,Deck WPC Maple + Cream mixed Colección Camaleón (Reversible) 4m
Deck WPC,Deck WPC,"Deck Wpc Marron Coco Coleccion Oval 2,90 Metros","Deck WPC Marron Coco (Codigo K4D) Coleccion Oval 2,90 metros"
Deck WPC,Deck WPC,"Deck Wpc Marron Dorado Coleccion Oval 2,90 Metros","Deck WPC Marron Dorado (Codigo K25) Coleccion Oval 2,90 metros"
Deck WPC,Deck WPC,"Deck Wpc Nogal Tabaco T 1 Colección Noble (Sin Pigmento Negro) 2,20 Metros","Deck WPC Nogal Tabaco T-1 Colección Noble (Sin Pigmento Negro) 2,20 metros"
Deck WPC,Deck WPC,"Deck Wpc Nogal Tabaco T 1 Colección Noble (Sin Pigmento Negro) 2,30 Metros","Deck WPC Nogal Tabaco T-1 Colección Noble (Sin Pigmento Negro) 2,30 metros"
Deck WPC,Deck WPC,"Deck Wpc Nogal Tabaco T 1 Colección Noble (Sin Pigmento Negro) 2,90 Metros","Deck WPC Nogal Tabaco T-1 Colección Noble (Sin Pigmento Negro) 2,90 metros"
Deck WPC,Deck WPC,Deck Wpc Nogal Tabaco T 1 Colección Noble (Sin Pigmento Negro) 3 Metros,Deck WPC Nogal Tabaco T-1 Colección Noble (Sin Pigmento Negro) 3 metros
Deck WPC,Deck WPC,Deck Wpc Nogal Tabaco T 1 Colección Noble 3 Metros,Deck WPC Nogal Tabaco T-1 Colección Noble 3 metros
Deck WPC,Deck WPC,"Deck Wpc Roble Clasico T 4 Colección Noble (Sin Pigmento Negro) 2,20 Metros","Deck WPC Roble Clasico T-4 Colección Noble (Sin Pigmento Negro) 2,20 metros"
Deck WPC,Deck WPC,"Deck Wpc Roble Clasico T 4 Colección Noble (Sin Pigmento Negro) 2,90 Metros","Deck WPC Roble Clasico T-4 Colección Noble (Sin Pigmento Negro) 2,90 metros"
Deck WPC,Deck WPC,Deck Wpc Roble Clasico T 4 Colección Noble (Sin Pigmento Negro) 3 Metros,Deck WPC Roble Clasico T-4 Colección Noble (Sin Pigmento Negro) 3 metros
Deck WPC,Deck WPC,Deck Wpc Roble Clasico T 4 Colección Noble 3 Metros,Deck WPC Roble Clasico T-4 Colección Noble 3 metros
Deck WPC,Deck WPC,Deck Wpc Silver Gray + Light Gray 3M Colección Camaleón (Reversible) 3M,Deck WPC Silver Gray + Light Gray 3M Colección Camaleón (Reversible) 3m
Deck WPC,Deck WPC,Deck Wpc Silver Gray + Light Gray 4M Colección Camaleón (Reversible) 4M,Deck WPC Silver Gray + Light Gray 4M Colección Camaleón (Reversible) 4m
Deck WPC,Deck WPC,"Deck Wpc Teak B Mixed + Cream Colección Camaleón (Reversible) 2,81M","Deck WPC Teak B Mixed + Cream Colección Camaleón (Reversible) 2,81m"
Deck WPC,Deck WPC,"Deck Wpc Teak B Mixed 2,81M","Deck WPC Teak B Mixed - 2,81m"
Deck WPC,Deck WPC,Deck Wpc Teak Claro Colección Prestigio,Deck WPC Teak Claro (2da Generacion) Colección Prestigio -
Deck WPC,Deck WPC,"Deck Wpc Walnut + Light Teak Solido 2,7M","Deck WPC Walnut + Light Teak Solido 2,7m"
Deck WPC,Deck WPC,Deck Wpc Walnut+Teak Colección Camaleón (Reversible) 4M,Deck WPC Walnut+Teak Colección Camaleón (Reversible) 4m
Deck de Madera,Deck de Madera,Deck De Madera De Eucaliptus 3 Pulgadas,Deck de Madera de Eucaliptus 3 pulgadas
